lat,lng,buildings
56.882,-6.14307,12755
57.791,-5.58931,10978
51.9247,2.22478,10014
51.4517,-5.81139,504
49.6275,-5.1854,29115
53.3872,-4.78658,23252
51.5935,-4.17583,94731
19.2232,121.075,4852
52.5545,-3.64818,77221
56.9893,-4.33206,46299
50.6177,-4.68804,138325
50.7495,-3.08584,341806
57.0694,-2.53517,140935
55.2607,-3.69638,93924
54.4303,-2.54404,148940
52.7927,1.23983,279456
54.5038,-0.853798,204930
56.0784,-4.89546,219003
20.2466,121.443,4204
52.6575,-2.00252,1442084
51.711,-2.55205,836490
56.1733,-3.12502,486953
53.5885,-1.43664,1120150
51.8758,0.650496,717783
52.7366,-0.372391,521522
50.8579,-1.49666,540786
51.8049,-0.942504,985167
50.9437,0.0772493,816316
14.9396,-81.9333,10
5.00935,-87.1287,19
24.3987,-78.6421,7
15.5227,-82.8257,19
16.2016,-83.5616,1
12.5659,-88.0507,239
17.3173,-77.8052,207
20.6185,-78.8095,5
20.9071,-71.8258,8
6.95379,-79.9302,417
23.9213,-76.9562,15
17.7124,-68.4931,135
21.4414,-82.2563,45
11.5751,-83.3282,100
14.7881,-84.806,2116
25.1628,-75.678,1194
24.4204,-75.0248,801
19.496,-76.5212,386
15.8363,-84.5616,10712
15.4623,-85.5689,53630
19.9066,-78.1269,58
17.4301,-72.1568,1
16.5203,-85.3273,1076
15.1596,-83.812,14696
14.1699,-83.9701,12358
13.5786,-83.0753,6904
13.7749,-84.9928,3592
13.1838,-84.0989,2212
14.5582,-82.9501,1161
17.4247,-90.9199,26806
9.47519,-78.6729,2164
7.18104,-81.8864,31
20.3478,-73.7177,634
10.1101,-79.5825,1113
19.4848,-73.8071,2476
12.7825,-85.1251,3813
18.9,-78.4104,10890
15.0799,-86.5831,13397
21.3379,-79.5085,822
12.1829,-84.2286,3333
13.6247,-87.8288,33981
24.9187,-76.654,5180
23.6853,-74.3881,929
17.9786,-75.8366,18598
21.9176,-77.549,7541
21.7665,-71.6873,3236
66.6344,25.9623,9915
15.6398,-90.2797,327691
23.4404,-75.3315,3195
22.2388,-73.1619,269
21.9925,-74.0738,298
12.5842,-83.2013,2362
22.958,-73.7673,481
22.7124,-74.6948,739
13.2213,-88.8481,4366
21.1737,-70.893,2878
8.42989,-78.7849,532
18.5557,-76.7162,132631
11.7756,-85.2583,4367
14.4083,-85.8072,1004
21.5282,-72.5716,8541
17.7313,-71.2091,258
8.01906,-79.8135,5460
11.1676,-84.3591,6818
7.60265,-80.8475,47000
21.6328,-78.5233,43596
11.3012,-61.038,2285
9.29815,-81.6399,4004
18.0241,-70.2708,2818
18.8519,-67.5159,122
18.2289,-77.7001,485732
19.1742,-69.2699,11764
40.5072,48.8651,5941
14.7978,-61.7584,1953
17.8937,-78.6903,10973
11.9623,-87.1826,1912
16.7327,-90.0663,139494
13.469,-90.6968,44508
22.3603,-79.2235,18635
9.71955,-85.5273,6682
7.82547,-82.8018,5888
10.5517,-83.456,10166
10.3361,-86.4274,301
8.46373,-83.7141,8161
18.117,-62.4645,10766
10.7545,-85.3924,19147
21.2809,-73.4681,647
19.6764,-81.78,3299
21.1971,-76.8811,13113
20.7592,-75.2972,4198
21.4718,-75.9336,3318
20.9127,-77.8398,26733
18.6149,-71.1292,3637
18.2967,-74.863,10090
18.9071,-72.9393,176558
20.061,-71.9076,45147
17.712,-73.9876,29963
18.6061,-73.897,245823
19.1994,-71.9901,117339
19.7772,-72.853,102320
11.3627,-86.2899,14537
22.0645,-80.2243,14634
21.7582,-81.2354,2212
20.0551,-74.6761,4437
22.49,-81.9841,9415
13.8833,-89.6611,149842
16.1437,-86.3479,60595
13.3735,-86.0175,22384
19.7801,-75.593,15816
15.2255,-91.3344,1049219
9.9284,-82.5494,6438
20.4844,-76.2292,14858
19.7583,-70.1191,3933
23.1856,-76.2871,548
8.88357,-82.6752,20904
9.07132,-79.6976,37576
18.0215,-73.0261,213581
14.0204,-86.8149,64625
22.6457,-78.2334,1119
18.8988,-70.1947,38822
17.3959,-65.0555,26219
18.5843,-68.4239,23181
18.5041,-63.3049,22202
19.4831,-71.0499,20516
12.3752,-86.1532,48680
18.3224,-72.0731,339463
19.2904,-80.0672,1961
44.9788,51.4984,77
12.3312,-60.99,3526
18.3277,-65.0043,36015
18.8808,-64.1346,2579
18.9678,-81.0523,5809
17.989,-67.5814,42318
18.2574,-66.6805,796113
18.6946,-65.8124,463109
10.1383,-84.4905,57450
54.6604,-10.7282,7
53.6756,-11.1723,116
55.8072,-8.47078,242
51.0934,-9.10752,7086
52.427,-5.30683,13948
51.8919,-10.3338,42881
54.8515,-8.95999,58664
55.0149,-7.1964,238343
55.1511,-5.44079,29708
52.2744,-6.97584,307002
52.0962,-8.65243,201594
52.8934,-9.89078,33443
53.8801,-9.43308,94814
54.0573,-7.69754,165574
54.2078,-5.96882,167265
53.0843,-8.18265,287032
53.2487,-6.48027,692136
6.88002,72.3831,11
44.8619,71.4438,59
-0.706854,72.5816,1688
0.478897,73.8844,640
6.14766,73.1422,1438
0.224794,72.9157,1441
1.22906,73.133,3
2.26166,73.3234,1444
45.3915,72.9407,21
-0.509204,73.6377,3375
3.30271,73.5157,1545
5.09353,72.9504,2069
5.40761,73.9059,478
3.00605,72.5724,1271
7.20782,73.3358,1413
4.0461,72.7605,2969
32.7874,67.187,112
62.2528,25.5011,60043
30.5746,64.9186,2
61.4327,26.5345,195647
32.1396,61.3775,70
32.2075,63.6892,243
61.3203,24.6927,151462
32.2332,66.0197,730
34.3595,61.1637,996
36.1824,67.1693,131569
49.6299,17.4561,799072
54.3319,-4.24999,29173
46.0841,-102.396,7172
45.0404,-102.499,179
36.2057,-90.2516,11469
-5.59529,107.206,128573
48.2151,-102.205,26978
45.6241,-85.4566,9730
42.9632,-102.8,2728
45.8281,-99.6959,5120
38.8164,-99.5377,10633
